user_id,latitude,longitude,edge_node_id,request_rate,avg_data_size_kb,avg_compute_cost
user_0070,-37.816363,144.957518,135306,0.677,201.8,0.373
user_0071,-37.811145,144.95869,9009845,0.961,245.29,0.697
user_0072,-37.814912,144.967245,301386,1.2,185.32,0.193
user_0073,-37.812814,144.959642,134901,0.734,248.15,0.448
user_0074,-37.816093,144.959515,34603,1.176,192.74,0.134
user_0075,-37.814427,144.96186,134822,1.252,131.22,0.612
user_0076,-37.815288,144.957557,9014611,0.483,246.16,0.148
user_0077,-37.812624,144.95432,304366,0.534,154.35,0.505
user_0078,-37.814345,144.966172,135330,0.623,35.09,0.634
user_0079,-37.813412,144.963345,303712,0.643,154.22,0.472
user_0080,-37.818635,144.954124,11581,0.955,151.5,0.414
user_0081,-37.814614,144.959404,9014611,1.882,56.27,0.53
user_0082,-37.811873,144.959906,303255,0.63,104.34,0.503
user_0083,-37.813596,144.965662,301383,0.74,84.36,0.551
user_0084,-37.81665,144.962438,11571,0.331,120.03,0.699
user_0085,-37.813837,144.96786,134565,1.993,23.39,0.228
user_0086,-37.810271,144.961486,301895,0.677,239.25,0.629
user_0087,-37.817281,144.954706,11581,1.783,97.75,0.195
user_0088,-37.81073,144.96465,302517,1.701,181.59,0.467
user_0089,-37.809379,144.966617,134754,1.977,169.15,0.105
user_0090,-37.815424,144.971121,135237,1.671,80.14,0.498
user_0091,-37.814282,144.955802,135143,1.89,38.71,0.169
user_0092,-37.81399,144.955264,135143,0.393,143.86,0.263
user_0093,-37.81269,144.970019,134317,1.289,185.12,0.222
user_0094,-37.817043,144.965746,9014605,1.342,71.26,0.393
user_0095,-37.809934,144.968032,101381,1.83,217.37,0.155
user_0096,-37.813366,144.965268,51718,0.962,74.45,0.102
user_0097,-37.812076,144.958907,303255,1.588,164.92,0.257
user_0098,-37.813864,144.967153,135330,1.534,143.47,0.357
user_0099,-37.815256,144.96707,301386,0.217,23.89,0.63
user_0100,-37.810228,144.965625,134754,1.827,141.94,0.601
user_0101,-37.815828,144.970149,135237,1.249,42.17,0.176
user_0102,-37.812824,144.967087,134565,0.755,230.64,0.578
user_0103,-37.813534,144.970897,302571,1.749,230.63,0.226
user_0104,-37.8171,144.966642,301645,0.649,30.8,0.568
user_0105,-37.81361,144.963824,303712,1.791,107.0,0.472
user_0106,-37.816162,144.955159,9001289,0.478,238.4,0.619
user_0107,-37.813438,144.954321,135011,1.957,208.5,0.629
user_0108,-37.813814,144.95682,135390,0.245,189.88,0.299
user_0109,-37.812197,144.958464,101373,1.875,206.36,0.618
user_0110,-37.816853,144.965831,9014605,1.659,71.97,0.572
user_0111,-37.810772,144.961767,134454,0.395,223.91,0.615
user_0112,-37.815822,144.954473,9001289,0.6,209.96,0.376
user_0113,-37.8122,144.962,9013096,0.749,204.63,0.237
user_0114,-37.814535,144.966903,135330,0.243,53.48,0.297
user_0115,-37.811127,144.97038,49630,1.756,247.69,0.267
user_0116,-37.818782,144.960836,134980,1.355,105.32,0.689
user_0117,-37.808874,144.966955,101381,1.165,240.75,0.169
user_0118,-37.814141,144.973009,304369,1.947,49.82,0.678
user_0119,-37.811454,144.960335,9009845,0.678,32.21,0.361
user_0120,-37.81715,144.95967,304364,1.511,83.73,0.464
user_0121,-37.811843,144.971987,304368,1.121,101.68,0.446
user_0122,-37.814369,144.974403,304744,0.659,182.91,0.101
user_0123,-37.816369,144.967822,301645,1.866,140.15,0.532
user_0124,-37.81411,144.961103,134822,1.536,173.33,0.319
user_0125,-37.812582,144.959537,303255,0.326,171.72,0.298
user_0126,-37.818864,144.955422,9009844,0.765,217.85,0.532
user_0127,-37.810589,144.96344,50151,0.741,82.63,0.345
user_0128,-37.814265,144.962325,303712,0.924,79.21,0.176
user_0129,-37.818022,144.956185,301205,0.957,241.03,0.506
user_0130,-37.813274,144.952788,9026103,1.825,159.49,0.281
user_0131,-37.809422,144.969489,101381,1.186,5.1,0.272
user_0132,-37.808388,144.969576,101381,0.974,150.58,0.493
user_0133,-37.816162,144.957699,135306,1.037,115.98,0.228
user_0134,-37.810069,144.968769,9009843,1.052,231.2,0.578
user_0135,-37.818786,144.955933,134547,0.505,26.28,0.409
user_0136,-37.819558,144.959295,134923,1.339,89.13,0.591
user_0137,-37.810226,144.967264,134754,1.552,173.87,0.235
user_0138,-37.811433,144.962553,134906,0.558,11.13,0.247
user_0139,-37.818635,144.95879,53003,1.055,218.28,0.144
user_0140,-37.812074,144.957395,135045,0.946,163.07,0.217
user_0141,-37.809855,144.970586,302854,1.453,129.09,0.246
user_0142,-37.813661,144.963383,303712,1.381,6.39,0.551
user_0143,-37.814056,144.95919,130005,1.586,31.75,0.355
user_0144,-37.817827,144.963299,134554,0.517,245.45,0.411
user_0145,-37.810005,144.970447,302854,0.29,67.55,0.609
user_0146,-37.815511,144.966759,301386,1.022,206.16,0.501
user_0147,-37.81798,144.957408,11579,1.978,154.46,0.67
user_0148,-37.814944,144.956539,11593,1.805,158.78,0.532
user_0149,-37.816628,144.953784,9001289,1.109,213.47,0.429
user_0150,-37.811229,144.967229,134754,1.815,191.66,0.385
user_0151,-37.81126,144.961341,134454,0.667,67.06,0.483
user_0152,-37.8152,144.9632,135009,1.578,135.85,0.476
user_0153,-37.811785,144.972583,304368,0.694,24.45,0.271
user_0154,-37.812139,144.958204,101373,0.689,85.25,0.424
user_0155,-37.814979,144.956646,11593,0.449,63.05,0.516
user_0156,-37.814388,144.973875,304369,1.472,21.12,0.345
user_0157,-37.817178,144.963766,44101,1.177,109.36,0.224
user_0158,-37.815484,144.957198,11593,0.956,232.11,0.45
user_0159,-37.813544,144.969477,301240,1.452,220.04,0.559
user_0160,-37.809612,144.964883,301896,0.885,6.48,0.311
user_0161,-37.818623,144.958339,134245,1.556,219.22,0.672
user_0162,-37.817751,144.958713,303710,0.954,192.63,0.428
user_0163,-37.812818,144.973628,134733,1.286,60.36,0.232
user_0164,-37.817408,144.963039,134554,0.985,12.29,0.302
user_0165,-37.81393,144.970733,302571,1.422,106.48,0.199
user_0166,-37.820868,144.95555,304363,1.041,37.03,0.473
user_0167,-37.809991,144.968687,101381,0.249,103.9,0.439
user_0168,-37.816175,144.970222,135237,0.249,166.33,0.181
user_0169,-37.815889,144.966133,301645,1.031,17.62,0.327
user_0170,-37.814,144.9633,303712,0.581,87.04,0.557
user_0171,-37.807978,144.970525,461423,0.882,193.75,0.599
user_0172,-37.81325,144.972866,134733,0.654,25.56,0.112
user_0173,-37.811523,144.969165,130439,1.171,255.98,0.31
user_0174,-37.812937,144.954629,135011,1.37,201.09,0.491
user_0175,-37.810809,144.963664,302517,1.558,243.35,0.22
user_0176,-37.81598,144.954589,9001289,0.237,43.25,0.176
user_0177,-37.816799,144.969013,10004167,1.405,146.56,0.231
user_0178,-37.814151,144.959652,130005,1.459,197.49,0.201
user_0179,-37.808847,144.969839,101381,1.293,192.73,0.169
user_0180,-37.814701,144.957446,135390,1.675,247.14,0.165
user_0181,-37.815001,144.972972,305394,0.246,83.3,0.506
user_0182,-37.810671,144.972454,50226,1.925,104.56,0.529
user_0183,-37.815589,144.972497,305394,0.337,178.34,0.476
user_0184,-37.816208,144.957682,135306,0.383,198.89,0.61
user_0185,-37.816377,144.96114,51590,1.281,35.38,0.69
user_0186,-37.817472,144.965424,134403,1.609,92.15,0.357
user_0187,-37.813515,144.958509,130005,0.867,132.0,0.305
user_0188,-37.812815,144.963312,134574,1.729,211.41,0.163
user_0189,-37.814411,144.954253,135143,1.929,164.53,0.597
user_0190,-37.819226,144.958529,53003,1.473,114.31,0.54
user_0191,-37.813674,144.96366,303712,1.938,72.79,0.585
user_0192,-37.82032,144.957423,134872,1.169,126.36,0.361
user_0193,-37.815349,144.963193,135009,1.516,72.37,0.611
user_0194,-37.809873,144.972203,302923,1.695,26.75,0.629
user_0195,-37.8181,144.957,10004576,0.639,121.64,0.466
user_0196,-37.816919,144.960026,304364,0.882,12.2,0.611
user_0197,-37.813694,144.963819,303712,0.527,58.24,0.579
user_0198,-37.817253,144.961355,9015396,0.813,225.96,0.521
user_0199,-37.812025,144.961053,9013096,0.697,7.55,0.669
user_0200,-37.814045,144.952188,9026103,0.354,185.74,0.393
user_0201,-37.813951,144.958425,135390,1.565,178.34,0.488
user_0202,-37.814623,144.957791,135390,1.083,204.03,0.156
user_0203,-37.816815,144.968428,10004167,0.599,178.64,0.284
user_0204,-37.813087,144.959044,130005,1.247,123.79,0.419
user_0205,-37.811354,144.972423,50226,0.966,192.23,0.298
user_0206,-37.814369,144.951903,10003027,1.465,73.0,0.251
user_0207,-37.815885,144.972347,135073,0.417,53.34,0.172
user_0208,-37.813996,144.956723,135390,1.165,196.31,0.211
user_0209,-37.813784,144.970126,302571,0.589,126.53,0.535
user_0210,-37.816408,144.969342,10004167,1.958,136.68,0.27
user_0211,-37.809036,144.970963,461423,0.381,53.72,0.236
user_0212,-37.815879,144.96825,303676,0.523,8.55,0.42
user_0213,-37.810701,144.962006,134454,0.694,249.55,0.432
user_0214,-37.814957,144.963821,51622,1.455,36.7,0.621
user_0215,-37.815387,144.966328,134386,1.084,224.05,0.444
user_0216,-37.818059,144.962315,11600,1.045,115.56,0.211
user_0217,-37.813506,144.972468,134733,0.292,241.21,0.387
user_0218,-37.811253,144.968322,130439,1.68,105.58,0.144
user_0219,-37.816058,144.95719,135306,1.333,18.46,0.19
user_0220,-37.813953,144.955124,135143,1.213,81.26,0.696
user_0221,-37.820331,144.955312,304363,0.413,196.88,0.464
user_0222,-37.819112,144.955542,134547,1.623,61.65,0.414
user_0223,-37.820483,144.957124,134872,1.011,116.12,0.616
user_0224,-37.814364,144.959273,130005,1.982,81.65,0.473
user_0225,-37.813572,144.955398,101636,1.297,190.76,0.669
user_0226,-37.810994,144.965045,301361,0.574,57.97,0.496
user_0227,-37.809392,144.969212,101381,0.483,48.63,0.145
user_0228,-37.818855,144.954312,9009844,0.205,118.08,0.456
user_0229,-37.814607,144.973061,305394,0.724,63.1,0.524
user_0230,-37.818115,144.953986,11581,1.465,118.96,0.512
user_0231,-37.812965,144.961832,9013096,1.863,202.74,0.475
user_0232,-37.813099,144.953852,135011,1.39,239.35,0.355
user_0233,-37.817438,144.959175,134449,1.18,167.56,0.645
user_0234,-37.812545,144.971035,10003238,1.688,22.92,0.2
user_0235,-37.813118,144.967808,134565,0.754,192.99,0.442
user_0236,-37.811657,144.958063,101373,0.719,36.21,0.513
user_0237,-37.820363,144.95496,304363,1.46,241.61,0.4
user_0238,-37.815523,144.972914,305394,1.089,25.19,0.124
user_0239,-37.813108,144.966873,301383,0.978,85.9,0.25
user_0240,-37.813335,144.961487,134680,0.364,246.44,0.602
user_0241,-37.813664,144.967197,301383,1.235,243.65,0.7
user_0242,-37.815492,144.955892,11591,1.41,72.65,0.124
user_0243,-37.819588,144.955458,9009844,1.561,123.1,0.491
user_0244,-37.814216,144.971435,51576,1.849,50.55,0.451
user_0245,-37.816729,144.967584,301645,1.343,128.42,0.155
user_0246,-37.817167,144.962135,11600,0.826,88.66,0.502
user_0247,-37.811254,144.960167,9009845,1.744,87.78,0.516
user_0248,-37.81099,144.971329,135213,0.719,242.24,0.588
user_0249,-37.81515,144.953765,404118,1.19,119.16,0.289
user_0250,-37.809486,144.965438,301896,0.782,248.52,0.343
user_0251,-37.809089,144.967291,101381,1.126,253.02,0.495
user_0252,-37.811618,144.959431,9009845,1.177,108.73,0.213
user_0253,-37.811593,144.970684,301393,0.851,194.87,0.475
user_0254,-37.814079,144.9641,304434,1.568,56.09,0.43
user_0255,-37.816009,144.965224,9014605,1.87,114.97,0.519
user_0256,-37.81855,144.955424,301205,0.419,249.26,0.465
user_0257,-37.812502,144.96086,134680,0.631,44.75,0.431
user_0258,-37.813328,144.964182,51718,1.194,28.4,0.695
user_0259,-37.816172,144.960763,206082,1.843,120.82,0.17
user_0260,-37.8133,144.962383,9013096,1.698,130.09,0.53
user_0261,-37.812484,144.97236,10003238,1.116,73.63,0.601
user_0262,-37.814132,144.97153,51576,1.964,66.18,0.431
user_0263,-37.813879,144.967714,134565,0.89,236.39,0.405
user_0264,-37.8136,144.963,303712,1.783,221.87,0.266
user_0265,-37.817065,144.964251,9014989,1.622,109.15,0.661
user_0266,-37.813416,144.957396,135390,1.114,210.96,0.27
user_0267,-37.814903,144.971858,134453,0.737,152.32,0.699
user_0268,-37.812758,144.963174,134574,1.081,42.3,0.423
user_0269,-37.816507,144.955045,9001289,0.821,143.53,0.426
user_0270,-37.813457,144.96362,303712,1.02,85.77,0.213
user_0271,-37.812995,144.96111,134680,1.455,148.52,0.24
user_0272,-37.813548,144.966322,301383,1.596,15.96,0.547
user_0273,-37.819044,144.961351,134980,1.469,208.66,0.332
user_0274,-37.815198,144.971576,134453,1.395,211.01,0.688
user_0275,-37.811113,144.959536,9009845,1.092,14.29,0.401
user_0276,-37.81151,144.971617,304368,1.262,223.29,0.625
user_0277,-37.814298,144.967194,135330,0.993,137.01,0.374
user_0278,-37.809181,144.970388,461423,1.5,107.9,0.493
user_0279,-37.815647,144.953046,10003027,0.478,122.84,0.682
user_0280,-37.809294,144.972082,302923,0.809,178.87,0.49
user_0281,-37.8148,144.963,135009,1.733,218.94,0.616
user_0282,-37.814585,144.971013,134453,0.884,84.48,0.531
user_0283,-37.815046,144.968482,303676,1.567,223.97,0.122
user_0284,-37.812501,144.959521,303255,0.323,163.42,0.653
user_0285,-37.817395,144.957555,11579,1.995,192.44,0.36
user_0286,-37.810533,144.965844,134754,0.377,164.07,0.624
user_0287,-37.816822,144.962856,44101,0.999,179.19,0.642
user_0288,-37.80946,144.970667,461423,0.283,204.83,0.276
user_0289,-37.812463,144.954116,304366,0.875,41.54,0.419
user_0290,-37.81039,144.969127,9009843,1.219,203.92,0.202
user_0291,-37.811155,144.959477,9009845,0.342,223.58,0.472
user_0292,-37.817003,144.953978,11581,0.633,234.12,0.186
user_0293,-37.811406,144.960567,9009845,1.03,68.75,0.253
user_0294,-37.811037,144.966184,134754,0.217,206.96,0.641
user_0295,-37.8172,144.965,9014605,1.42,44.65,0.365
user_0296,-37.81472,144.962814,135009,0.822,152.48,0.483
user_0297,-37.817771,144.958393,303710,0.964,67.77,0.607
user_0298,-37.809695,144.964744,301896,0.559,101.56,0.39
user_0299,-37.813635,144.954249,135143,0.627,148.55,0.445
user_0300,-37.816716,144.969861,10004167,1.987,79.1,0.687
user_0301,-37.813931,144.957971,135390,1.385,73.89,0.44
user_0302,-37.814309,144.953761,135143,1.434,191.91,0.129
user_0303,-37.810681,144.971961,135213,1.292,129.68,0.642
user_0304,-37.811483,144.966939,134754,0.715,205.51,0.464
user_0305,-37.816686,144.966859,301645,0.834,164.79,0.473
user_0306,-37.813633,144.973243,304369,1.42,185.95,0.496
user_0307,-37.81664,144.955556,11591,1.709,162.69,0.642
user_0308,-37.8136,144.972,50686,1.363,82.54,0.364
user_0309,-37.814359,144.972323,134360,1.243,188.82,0.154
user_0310,-37.816868,144.965042,9014605,0.731,192.62,0.205
user_0311,-37.814031,144.958855,130005,0.438,140.39,0.683
user_0312,-37.812715,144.973095,134733,1.156,234.29,0.598
user_0313,-37.812106,144.966353,135253,0.663,212.0,0.389
user_0314,-37.815229,144.96694,301386,1.652,192.39,0.303
user_0315,-37.812355,144.967035,130439,0.407,246.69,0.184
user_0316,-37.8161,144.956,11591,1.94,220.9,0.535
user_0317,-37.814651,144.972529,134360,1.964,247.78,0.583
user_0318,-37.811538,144.970142,134317,0.858,203.46,0.108
user_0319,-37.812189,144.958606,101373,1.166,119.15,0.504
user_0320,-37.813194,144.960817,134680,1.41,151.72,0.593
user_0321,-37.809563,144.970187,461423,1.893,32.19,0.24
user_0322,-37.814639,144.967121,135330,0.245,226.94,0.437
user_0323,-37.815875,144.964943,301382,1.847,60.56,0.138
user_0324,-37.8187,144.958,134245,1.683,233.26,0.281
user_0325,-37.817712,144.954494,11581,0.935,40.08,0.668
user_0326,-37.813617,144.97404,304369,0.748,128.65,0.158
user_0327,-37.813423,144.965687,301383,1.797,39.05,0.372
user_0328,-37.813329,144.96272,303712,1.407,191.53,0.668
user_0329,-37.814524,144.959277,9014611,0.954,191.31,0.193
user_0330,-37.819086,144.957161,11599,0.947,29.85,0.394
user_0331,-37.816627,144.954461,9001289,0.935,243.83,0.12
user_0332,-37.815546,144.953822,9001289,0.867,116.29,0.67
user_0333,-37.811426,144.964375,302517,1.74,29.94,0.511
user_0334,-37.819675,144.955387,304363,1.18,250.44,0.315
user_0335,-37.816248,144.971443,9002262,0.917,52.64,0.173
user_0336,-37.82,144.957048,134872,1.726,119.13,0.498
user_0337,-37.811246,144.969659,49630,1.355,154.88,0.113
user_0338,-37.815379,144.963279,135009,1.616,66.14,0.176
user_0339,-37.814032,144.961095,134822,1.216,22.22,0.559
user_0340,-37.811828,144.966542,134754,0.573,59.2,0.622
user_0341,-37.815026,144.965544,135330,0.791,42.04,0.64
user_0342,-37.809694,144.9715,302923,0.205,220.46,0.187
user_0343,-37.810905,144.967638,134754,0.434,67.91,0.205
user_0344,-37.812033,144.970566,134317,1.39,11.47,0.109
user_0345,-37.817374,144.961234,9015396,1.622,64.72,0.294
user_0346,-37.813636,144.959775,130005,0.514,18.15,0.545
user_0347,-37.816898,144.959452,134449,1.147,192.16,0.386
user_0348,-37.81871,144.956339,134547,1.6,133.82,0.165
user_0349,-37.81444,144.974068,304744,1.107,242.3,0.126
user_0350,-37.817669,144.965418,134403,1.61,222.61,0.413
user_0351,-37.819044,144.956991,134547,1.024,246.97,0.136
user_0352,-37.813464,144.970563,302571,1.062,105.81,0.512
user_0353,-37.814749,144.957367,135390,1.082,233.33,0.144
user_0354,-37.8126,144.955,101636,0.345,157.68,0.139
user_0355,-37.813268,144.97056,302571,0.695,163.9,0.429
user_0356,-37.812863,144.959232,134901,0.785,254.65,0.418
user_0357,-37.814367,144.954335,135143,1.017,156.96,0.16
user_0358,-37.81839,144.963437,301208,1.463,219.05,0.491
user_0359,-37.810993,144.963444,49873,1.584,185.93,0.229
user_0360,-37.809477,144.969097,101381,1.013,62.35,0.303
user_0361,-37.811436,144.967498,134754,1.016,109.41,0.157
user_0362,-37.811159,144.959008,9009845,0.968,171.94,0.325
user_0363,-37.8149,144.963,135009,0.475,236.67,0.14
user_0364,-37.811948,144.96553,301361,1.697,28.4,0.158
user_0365,-37.807989,144.970295,461423,1.53,208.75,0.434
user_0366,-37.816408,144.955032,9001289,1.256,145.96,0.298
user_0367,-37.813671,144.95392,9026103,0.42,93.75,0.499
user_0368,-37.818405,144.956721,304371,1.551,222.89,0.533
user_0369,-37.813197,144.952663,9026103,1.943,155.7,0.311
user_0370,-37.820055,144.957393,134872,1.24,58.4,0.494
user_0371,-37.818232,144.956184,301205,0.604,32.16,0.607
user_0372,-37.810172,144.970031,9009843,0.862,196.41,0.444
user_0373,-37.810698,144.967733,134754,1.653,217.13,0.685
user_0374,-37.818987,144.957557,134245,1.673,159.01,0.486
user_0375,-37.817146,144.968147,10004167,0.247,238.2,0.598
user_0376,-37.813513,144.955028,101636,0.681,50.28,0.522
user_0377,-37.813385,144.968998,301240,0.756,90.3,0.104
user_0378,-37.814795,144.95762,9014611,1.766,147.15,0.34
user_0379,-37.810355,144.963005,50151,0.455,163.93,0.118
user_0380,-37.817785,144.962353,11600,1.543,59.0,0.352
user_0381,-37.808989,144.970293,461423,0.814,97.88,0.533
user_0382,-37.812805,144.962618,9013096,1.598,147.47,0.151
user_0383,-37.810354,144.968907,9009843,0.295,44.51,0.471
user_0384,-37.812203,144.957512,302516,1.413,73.3,0.497
user_0385,-37.811878,144.970805,301393,1.074,115.95,0.264
user_0386,-37.814904,144.960603,134822,1.559,33.57,0.358
user_0387,-37.816928,144.96749,301645,0.71,175.3,0.392
user_0388,-37.814995,144.952262,10003027,1.401,16.4,0.337
user_0389,-37.814378,144.967959,301388,1.279,6.93,0.281
user_0390,-37.807937,144.971527,304060,0.58,39.45,0.253
user_0391,-37.813653,144.95846,130005,0.791,6.94,0.548
user_0392,-37.815904,144.966197,301645,0.516,100.43,0.522
user_0393,-37.81468,144.956807,135390,1.1,214.17,0.584
user_0394,-37.811376,144.969467,49630,0.33,221.3,0.125
user_0395,-37.8166,144.962,303652,0.234,236.21,0.617
user_0396,-37.813109,144.969606,301240,1.236,148.92,0.526
user_0397,-37.816944,144.957098,135306,0.952,33.91,0.113
user_0398,-37.811751,144.968751,130439,0.785,206.13,0.471
user_0399,-37.811976,144.965191,301361,1.698,235.86,0.153
user_0400,-37.813137,144.96816,134565,1.72,66.07,0.453
user_0401,-37.814998,144.9639,51622,1.143,104.34,0.286
user_0402,-37.814837,144.967583,301386,0.811,88.6,0.201
user_0403,-37.812329,144.959686,303255,1.119,33.62,0.406
user_0404,-37.812365,144.961727,9013096,1.831,92.69,0.536
user_0405,-37.814391,144.961744,134822,1.674,209.57,0.242
user_0406,-37.817866,144.96282,134554,0.464,54.52,0.461
user_0407,-37.816825,144.96689,301645,1.568,169.53,0.206
user_0408,-37.817553,144.957585,11579,1.591,129.02,0.553
user_0409,-37.811936,144.96674,134754,1.568,117.68,0.654
user_0410,-37.816242,144.965408,9014605,1.216,164.46,0.475
user_0411,-37.816721,144.959856,34603,1.756,162.43,0.191
user_0412,-37.815467,144.963192,135009,0.323,115.99,0.282
user_0413,-37.816869,144.953878,9001289,0.694,19.1,0.404
user_0414,-37.815526,144.96044,134822,0.759,118.43,0.134
user_0415,-37.814636,144.967164,135330,1.697,24.26,0.619
user_0416,-37.815601,144.972754,305394,1.74,159.37,0.404
user_0417,-37.815,144.963,135009,1.033,144.13,0.575
user_0418,-37.820293,144.955366,304363,1.813,117.88,0.586
user_0419,-37.814128,144.966745,135330,1.373,85.7,0.385
user_0420,-37.81955,144.959651,134923,0.472,20.53,0.162
user_0421,-37.817746,144.954666,11581,1.818,91.2,0.529
user_0422,-37.809553,144.96395,301896,1.108,48.31,0.249
user_0423,-37.817916,144.955681,301205,0.988,115.29,0.414
user_0424,-37.809681,144.964901,301896,0.486,98.59,0.27
user_0425,-37.808809,144.969529,101381,0.936,89.93,0.459
user_0426,-37.811817,144.965958,301361,1.621,167.47,0.14
user_0427,-37.813489,144.955661,101636,0.37,175.27,0.27
user_0428,-37.8166,144.96,206082,1.503,169.8,0.644
user_0429,-37.814547,144.969936,301388,1.772,88.67,0.45
user_0430,-37.815286,144.964134,301382,0.455,92.81,0.681
user_0431,-37.818251,144.963995,301208,1.457,103.38,0.457
user_0432,-37.81306,144.96324,303712,1.888,82.71,0.326
user_0433,-37.810258,144.9668,134754,1.625,209.11,0.502
user_0434,-37.818901,144.958628,53003,1.692,190.43,0.511
user_0435,-37.809938,144.971359,135213,1.148,167.15,0.354
user_0436,-37.812521,144.967025,130439,0.851,96.01,0.208
user_0437,-37.816518,144.957849,135231,0.586,242.86,0.392
user_0438,-37.816829,144.95318,9001289,0.608,39.53,0.146
user_0439,-37.8107,144.97,49630,1.72,30.39,0.563
user_0440,-37.819088,144.961002,301658,1.703,226.8,0.123
user_0441,-37.809806,144.964664,301896,0.806,197.34,0.179
user_0442,-37.814824,144.959092,9014611,0.878,45.72,0.599
user_0443,-37.814097,144.953354,9026103,1.588,208.07,0.199
user_0444,-37.813977,144.971718,51576,0.988,108.13,0.506
user_0445,-37.811099,144.971783,50226,0.628,116.49,0.271
user_0446,-37.808482,144.969223,101381,1.547,117.68,0.42
