timestamp,device_id,task_type,priority,data_size_kb,compute_cost,deadline_ms,edge_cpu_load,network_delay_ms
2026-05-22T15:25:10.037718Z,device_41,image_detection,high,4096.0,0.75,500,0.12,44.0
2026-05-22T15:25:12.037718Z,device_42,image_detection,high,8192.0,0.75,500,0.12,46.0
2026-05-22T15:25:14.037718Z,device_43,image_detection,high,10240.0,0.75,500,0.37,28.0
2026-05-22T15:25:16.037718Z,device_44,image_detection,medium,9216.0,0.45,1500,0.31,26.0
2026-05-22T15:25:18.037718Z,device_45,image_detection,high,3072.0,0.75,500,0.92,41.0
2026-05-22T15:25:20.037718Z,device_46,temperature_report,low,9216.0,0.15,5000,0.3,45.0
2026-05-22T15:25:22.037718Z,device_47,image_detection,medium,8192.0,0.45,1500,0.2,16.0
2026-05-22T15:25:24.037718Z,device_48,image_detection,high,9216.0,0.75,500,0.08,24.0
2026-05-22T15:25:26.037718Z,device_49,temperature_report,low,7168.0,0.15,5000,0.61,18.0
2026-05-22T15:25:28.037718Z,device_50,image_detection,low,3072.0,0.15,5000,0.35,50.0
2026-05-22T15:25:30.037718Z,device_51,temperature_report,high,8192.0,0.75,500,0.36,23.0
2026-05-22T15:25:32.037718Z,device_52,temperature_report,high,4096.0,0.75,500,0.79,49.0
2026-05-22T15:25:34.037718Z,device_53,image_detection,low,6144.0,0.15,5000,0.98,11.0
2026-05-22T15:25:36.037718Z,device_54,temperature_report,high,7168.0,0.75,500,0.61,32.0
2026-05-22T15:25:38.037718Z,device_55,temperature_report,medium,10240.0,0.45,1500,0.75,29.0
2026-05-22T15:25:40.037718Z,device_56,image_detection,low,7168.0,0.15,5000,0.72,35.0
2026-05-22T15:25:42.037718Z,device_57,image_detection,medium,8192.0,0.45,1500,0.81,39.0
2026-05-22T15:25:44.037718Z,device_58,temperature_report,low,7168.0,0.15,5000,0.33,37.0
2026-05-22T15:25:46.037718Z,device_59,temperature_report,low,3072.0,0.15,5000,0.28,40.0
2026-05-22T15:25:48.037718Z,device_60,image_detection,low,5120.0,0.15,5000,0.16,39.0
2026-05-22T15:25:50.037718Z,device_61,image_detection,low,8192.0,0.15,5000,0.95,18.0
2026-05-22T15:25:52.037718Z,device_62,image_detection,low,7168.0,0.15,5000,0.39,15.0
2026-05-22T15:25:54.037718Z,device_63,image_detection,medium,10240.0,0.45,1500,0.6,20.0
2026-05-22T15:25:56.037718Z,device_64,image_detection,high,2048.0,0.75,500,0.3,49.0
2026-05-22T15:25:58.037718Z,device_65,temperature_report,medium,9216.0,0.45,1500,0.49,28.0
2026-05-22T15:26:00.037718Z,device_66,temperature_report,medium,10240.0,0.45,1500,0.64,42.0
2026-05-22T15:26:02.037718Z,device_67,image_detection,high,5120.0,0.75,500,0.35,26.0
2026-05-22T15:26:04.037718Z,device_68,image_detection,medium,9216.0,0.45,1500,0.92,22.0
2026-05-22T15:26:06.037718Z,device_69,image_detection,medium,10240.0,0.45,1500,0.66,42.0
2026-05-22T15:26:08.037718Z,device_70,temperature_report,medium,3072.0,0.45,1500,0.72,23.0
2026-05-22T15:26:10.037718Z,device_71,image_detection,high,2048.0,0.75,500,0.75,46.0
2026-05-22T15:26:12.037718Z,device_72,image_detection,high,5120.0,0.75,500,0.19,33.0
2026-05-22T15:26:14.037718Z,device_73,temperature_report,high,8192.0,0.75,500,0.1,47.0
2026-05-22T15:26:16.037718Z,device_74,temperature_report,medium,9216.0,0.45,1500,0.7,41.0
2026-05-22T15:26:18.037718Z,device_75,image_detection,medium,10240.0,0.45,1500,1.0,45.0
2026-05-22T15:26:20.037718Z,device_76,temperature_report,high,3072.0,0.75,500,0.73,33.0
2026-05-22T15:26:22.037718Z,device_77,image_detection,high,8192.0,0.75,500,0.7,24.0
2026-05-22T15:26:24.037718Z,device_78,image_detection,low,7168.0,0.15,5000,0.66,20.0
2026-05-22T15:26:26.037718Z,device_79,image_detection,low,6144.0,0.15,5000,0.19,20.0
2026-05-22T15:26:28.037718Z,device_80,temperature_report,medium,1024.0,0.45,1500,0.8,6.0
2026-05-22T15:26:30.037718Z,device_81,image_detection,medium,2048.0,0.45,1500,0.24,23.0
2026-05-22T15:26:32.037718Z,device_82,image_detection,low,8192.0,0.15,5000,0.01,7.0
2026-05-22T15:26:34.037718Z,device_83,image_detection,medium,9216.0,0.45,1500,0.03,24.0
2026-05-22T15:26:36.037718Z,device_84,image_detection,medium,9216.0,0.45,1500,0.5,40.0
2026-05-22T15:26:38.037718Z,device_85,image_detection,low,10240.0,0.15,5000,0.28,32.0
2026-05-22T15:26:40.037718Z,device_86,image_detection,medium,1024.0,0.45,1500,0.04,7.0
2026-05-22T15:26:42.037718Z,device_87,temperature_report,low,3072.0,0.15,5000,0.56,12.0
2026-05-22T15:26:44.037718Z,device_88,image_detection,low,1024.0,0.15,5000,0.2,39.0
2026-05-22T15:26:46.037718Z,device_89,temperature_report,medium,4096.0,0.45,1500,0.13,46.0
2026-05-22T15:26:48.037718Z,device_90,temperature_report,high,7168.0,0.75,500,0.86,47.0
2026-05-22T15:26:50.037718Z,device_91,image_detection,low,4096.0,0.15,5000,0.56,13.0
2026-05-22T15:26:52.037718Z,device_92,temperature_report,high,5120.0,0.75,500,0.47,32.0
2026-05-22T15:26:54.037718Z,device_93,temperature_report,low,10240.0,0.15,5000,0.91,21.0
2026-05-22T15:26:56.037718Z,device_94,image_detection,high,7168.0,0.75,500,0.98,35.0
2026-05-22T15:26:58.037718Z,device_95,temperature_report,high,3072.0,0.75,500,0.91,36.0
2026-05-22T15:27:00.037718Z,device_96,image_detection,high,6144.0,0.75,500,0.27,13.0
2026-05-22T15:27:02.037718Z,device_97,image_detection,medium,10240.0,0.45,1500,0.21,40.0
2026-05-22T15:27:04.037718Z,device_98,temperature_report,medium,9216.0,0.45,1500,0.07,5.0
2026-05-22T15:27:06.037718Z,device_99,image_detection,medium,5120.0,0.45,1500,0.76,15.0
2026-05-22T15:27:08.037718Z,device_100,image_detection,high,3072.0,0.75,500,0.61,42.0
2026-05-22T15:27:10.037718Z,device_101,image_detection,medium,5120.0,0.45,1500,0.58,31.0
2026-05-22T15:27:12.037718Z,device_102,temperature_report,high,8192.0,0.75,500,0.54,26.0
2026-05-22T15:27:14.037718Z,device_103,image_detection,medium,4096.0,0.45,1500,0.96,45.0
2026-05-22T15:27:16.037718Z,device_104,image_detection,medium,4096.0,0.45,1500,0.45,29.0
2026-05-22T15:27:18.037718Z,device_105,temperature_report,low,3072.0,0.15,5000,0.63,20.0
2026-05-22T15:27:20.037718Z,device_106,image_detection,high,6144.0,0.75,500,0.63,41.0
2026-05-22T15:27:22.037718Z,device_107,image_detection,medium,2048.0,0.45,1500,0.17,38.0
2026-05-22T15:27:24.037718Z,device_108,temperature_report,high,4096.0,0.75,500,0.69,5.0
2026-05-22T15:27:26.037718Z,device_109,temperature_report,medium,1024.0,0.45,1500,0.21,13.0
2026-05-22T15:27:28.037718Z,device_110,temperature_report,medium,9216.0,0.45,1500,0.14,38.0
2026-05-22T15:27:30.037718Z,device_111,image_detection,medium,9216.0,0.45,1500,0.81,37.0
2026-05-22T15:27:32.037718Z,device_112,image_detection,low,4096.0,0.15,5000,0.33,23.0
2026-05-22T15:27:34.037718Z,device_113,temperature_report,medium,1024.0,0.45,1500,0.15,44.0
2026-05-22T15:27:36.037718Z,device_114,image_detection,medium,4096.0,0.45,1500,0.21,35.0
2026-05-22T15:27:38.037718Z,device_115,image_detection,high,4096.0,0.75,500,0.76,22.0
2026-05-22T15:27:40.037718Z,device_116,image_detection,high,5120.0,0.75,500,0.9,31.0
2026-05-22T15:27:42.037718Z,device_117,image_detection,high,5120.0,0.75,500,0.61,15.0
2026-05-22T15:27:44.037718Z,device_118,temperature_report,low,5120.0,0.15,5000,0.51,12.0
2026-05-22T15:27:46.037718Z,device_119,temperature_report,low,4096.0,0.15,5000,0.33,26.0
2026-05-22T15:27:48.037718Z,device_120,image_detection,high,4096.0,0.75,500,0.74,28.0
2026-05-22T15:27:50.037718Z,device_121,image_detection,low,3072.0,0.15,5000,0.73,48.0
2026-05-22T15:27:52.037718Z,device_122,image_detection,medium,7168.0,0.45,1500,0.84,19.0
2026-05-22T15:27:54.037718Z,device_123,temperature_report,medium,2048.0,0.45,1500,0.02,26.0
2026-05-22T15:27:56.037718Z,device_124,image_detection,low,2048.0,0.15,5000,0.12,27.0
2026-05-22T15:27:58.037718Z,device_125,temperature_report,low,9216.0,0.15,5000,0.65,31.0
2026-05-22T15:28:00.037718Z,device_126,image_detection,high,10240.0,0.75,500,0.11,10.0
2026-05-22T15:28:02.037718Z,device_127,image_detection,medium,2048.0,0.45,1500,0.16,48.0
2026-05-22T15:28:04.037718Z,device_128,image_detection,low,1024.0,0.15,5000,0.83,22.0
2026-05-22T15:28:06.037718Z,device_129,image_detection,high,9216.0,0.75,500,0.0,7.0
2026-05-22T15:28:08.037718Z,device_130,temperature_report,high,8192.0,0.75,500,0.76,21.0
2026-05-22T15:28:10.037718Z,device_131,image_detection,medium,3072.0,0.45,1500,0.62,17.0
2026-05-22T15:28:12.037718Z,device_132,temperature_report,medium,9216.0,0.45,1500,0.34,32.0
2026-05-22T15:28:14.037718Z,device_133,temperature_report,medium,6144.0,0.45,1500,0.68,27.0
2026-05-22T15:28:16.037718Z,device_134,image_detection,low,5120.0,0.15,5000,0.16,10.0
2026-05-22T15:28:18.037718Z,device_135,image_detection,low,7168.0,0.15,5000,0.57,16.0
2026-05-22T15:28:20.037718Z,device_136,image_detection,high,6144.0,0.75,500,0.66,19.0
2026-05-22T15:28:22.037718Z,device_137,image_detection,low,8192.0,0.15,5000,0.21,20.0
2026-05-22T15:28:24.037718Z,device_138,temperature_report,high,9216.0,0.75,500,0.35,28.0
2026-05-22T15:28:26.037718Z,device_139,image_detection,high,2048.0,0.75,500,0.14,11.0
2026-05-22T15:28:28.037718Z,device_140,image_detection,low,7168.0,0.15,5000,0.24,9.0
2026-05-22T15:28:30.037718Z,device_141,image_detection,high,8192.0,0.75,500,0.81,6.0
2026-05-22T15:28:32.037718Z,device_142,image_detection,high,10240.0,0.75,500,0.68,22.0
2026-05-22T15:28:34.037718Z,device_143,temperature_report,high,5120.0,0.75,500,0.47,18.0
2026-05-22T15:28:36.037718Z,device_144,image_detection,low,7168.0,0.15,5000,0.77,8.0
2026-05-22T15:28:38.037718Z,device_145,temperature_report,high,3072.0,0.75,500,0.73,34.0
2026-05-22T15:28:40.037718Z,device_146,temperature_report,low,7168.0,0.15,5000,0.1,25.0
2026-05-22T15:28:42.037718Z,device_147,temperature_report,low,10240.0,0.15,5000,0.09,21.0
2026-05-22T15:28:44.037718Z,device_148,image_detection,medium,10240.0,0.45,1500,0.31,12.0
2026-05-22T15:28:46.037718Z,device_149,image_detection,high,4096.0,0.75,500,0.79,43.0
2026-05-22T15:28:48.037718Z,device_150,image_detection,high,4096.0,0.75,500,1.0,47.0
2026-05-22T15:28:50.037718Z,device_151,image_detection,medium,10240.0,0.45,1500,0.57,23.0
2026-05-22T15:28:52.037718Z,device_152,image_detection,low,3072.0,0.15,5000,0.56,33.0
2026-05-22T15:28:54.037718Z,device_153,temperature_report,medium,5120.0,0.45,1500,0.6,22.0
2026-05-22T15:28:56.037718Z,device_154,image_detection,low,3072.0,0.15,5000,0.08,23.0
2026-05-22T15:28:58.037718Z,device_155,image_detection,low,4096.0,0.15,5000,0.92,26.0
2026-05-22T15:29:00.037718Z,device_156,temperature_report,low,6144.0,0.15,5000,0.66,25.0
2026-05-22T15:29:02.037718Z,device_157,temperature_report,high,3072.0,0.75,500,0.07,24.0
2026-05-22T15:29:04.037718Z,device_158,image_detection,medium,4096.0,0.45,1500,0.69,5.0
2026-05-22T15:29:06.037718Z,device_159,image_detection,high,2048.0,0.75,500,0.26,31.0
2026-05-22T15:29:08.037718Z,device_160,image_detection,low,4096.0,0.15,5000,0.64,25.0
2026-05-22T15:29:10.037718Z,device_161,temperature_report,high,1024.0,0.75,500,0.88,36.0
2026-05-22T15:29:12.037718Z,device_162,image_detection,medium,10240.0,0.45,1500,0.41,29.0
2026-05-22T15:29:14.037718Z,device_163,temperature_report,low,10240.0,0.15,5000,0.84,34.0
2026-05-22T15:29:16.037718Z,device_164,temperature_report,high,10240.0,0.75,500,0.16,47.0
2026-05-22T15:29:18.037718Z,device_165,temperature_report,medium,5120.0,0.45,1500,0.15,34.0
2026-05-22T15:29:20.037718Z,device_166,image_detection,low,9216.0,0.15,5000,0.22,38.0
2026-05-22T15:29:22.037718Z,device_167,temperature_report,low,5120.0,0.15,5000,0.33,17.0
2026-05-22T15:29:24.037718Z,device_168,temperature_report,high,7168.0,0.75,500,0.3,14.0
2026-05-22T15:29:26.037718Z,device_169,temperature_report,medium,5120.0,0.45,1500,0.37,39.0
2026-05-22T15:29:28.037718Z,device_170,temperature_report,low,3072.0,0.15,5000,0.76,29.0
2026-05-22T15:29:30.037718Z,device_171,image_detection,high,2048.0,0.75,500,0.49,16.0
2026-05-22T15:29:32.037718Z,device_172,temperature_report,high,9216.0,0.75,500,0.15,5.0
2026-05-22T15:29:34.037718Z,device_173,image_detection,medium,9216.0,0.45,1500,0.38,49.0
2026-05-22T15:29:36.037718Z,device_174,image_detection,medium,9216.0,0.45,1500,0.24,14.0
2026-05-22T15:29:38.037718Z,device_175,temperature_report,low,10240.0,0.15,5000,0.48,35.0
2026-05-22T15:29:40.037718Z,device_176,image_detection,high,1024.0,0.75,500,0.02,26.0
2026-05-22T15:29:42.037718Z,device_177,image_detection,medium,1024.0,0.45,1500,0.5,25.0
2026-05-22T15:29:44.037718Z,device_178,image_detection,high,1024.0,0.75,500,0.21,29.0
2026-05-22T15:29:46.037718Z,device_179,image_detection,low,10240.0,0.15,5000,0.26,8.0
2026-05-22T15:29:48.037718Z,device_180,image_detection,low,8192.0,0.15,5000,0.8,31.0
2026-05-22T15:29:50.037718Z,device_181,image_detection,high,7168.0,0.75,500,0.25,31.0
2026-05-22T15:29:52.037718Z,device_182,temperature_report,high,10240.0,0.75,500,0.3,13.0
2026-05-22T15:29:54.037718Z,device_183,temperature_report,low,2048.0,0.15,5000,0.29,44.0
2026-05-22T15:29:56.037718Z,device_184,image_detection,high,7168.0,0.75,500,0.23,19.0
2026-05-22T15:29:58.037718Z,device_185,temperature_report,high,1024.0,0.75,500,0.89,24.0
2026-05-22T15:30:00.037718Z,device_186,image_detection,medium,10240.0,0.45,1500,0.22,16.0
2026-05-22T15:30:02.037718Z,device_187,image_detection,high,7168.0,0.75,500,0.57,34.0
2026-05-22T15:30:04.037718Z,device_188,temperature_report,medium,2048.0,0.45,1500,0.26,30.0
2026-05-22T15:30:06.037718Z,device_189,temperature_report,medium,9216.0,0.45,1500,0.59,16.0
2026-05-22T15:30:08.037718Z,device_190,image_detection,high,1024.0,0.75,500,0.24,36.0
2026-05-22T15:30:10.037718Z,device_191,temperature_report,low,9216.0,0.15,5000,0.95,50.0
2026-05-22T15:30:12.037718Z,device_192,image_detection,medium,2048.0,0.45,1500,0.89,10.0
2026-05-22T15:30:14.037718Z,device_193,image_detection,high,6144.0,0.75,500,0.01,14.0
2026-05-22T15:30:16.037718Z,device_194,image_detection,medium,6144.0,0.45,1500,0.35,8.0
2026-05-22T15:30:18.037718Z,device_195,image_detection,medium,10240.0,0.45,1500,0.58,22.0
2026-05-22T15:30:20.037718Z,device_196,temperature_report,high,7168.0,0.75,500,0.76,36.0
2026-05-22T15:30:22.037718Z,device_197,image_detection,medium,2048.0,0.45,1500,0.55,15.0
2026-05-22T15:30:24.037718Z,device_198,temperature_report,low,5120.0,0.15,5000,0.37,43.0
2026-05-22T15:30:26.037718Z,device_199,image_detection,high,8192.0,0.75,500,0.38,32.0
2026-05-22T15:30:28.037718Z,device_200,temperature_report,high,6144.0,0.75,500,0.1,32.0
2026-05-22T15:30:30.037718Z,device_201,image_detection,high,5120.0,0.75,500,0.73,7.0
2026-05-22T15:30:32.037718Z,device_202,image_detection,low,10240.0,0.15,5000,0.21,21.0
2026-05-22T15:30:34.037718Z,device_203,image_detection,low,9216.0,0.15,5000,0.93,16.0
2026-05-22T15:30:36.037718Z,device_204,temperature_report,high,8192.0,0.75,500,0.39,16.0
2026-05-22T15:30:38.037718Z,device_205,temperature_report,low,10240.0,0.15,5000,0.25,8.0
2026-05-22T15:30:40.037718Z,device_206,image_detection,high,1024.0,0.75,500,0.7,26.0
2026-05-22T15:30:42.037718Z,device_207,temperature_report,low,6144.0,0.15,5000,0.24,21.0
2026-05-22T15:30:44.037718Z,device_208,temperature_report,medium,1024.0,0.45,1500,0.73,32.0
2026-05-22T15:30:46.037718Z,device_209,image_detection,medium,7168.0,0.45,1500,0.36,46.0
2026-05-22T15:30:48.037718Z,device_210,temperature_report,medium,8192.0,0.45,1500,0.61,7.0
2026-05-22T15:30:50.037718Z,device_211,image_detection,medium,8192.0,0.45,1500,0.69,31.0
2026-05-22T15:30:52.037718Z,device_212,image_detection,low,9216.0,0.15,5000,0.05,44.0
2026-05-22T15:30:54.037718Z,device_213,temperature_report,low,2048.0,0.15,5000,0.39,18.0
2026-05-22T15:30:56.037718Z,device_214,image_detection,high,7168.0,0.75,500,0.34,9.0
2026-05-22T15:30:58.037718Z,device_215,image_detection,high,2048.0,0.75,500,0.12,15.0
2026-05-22T15:31:00.037718Z,device_216,temperature_report,medium,1024.0,0.45,1500,0.52,29.0
2026-05-22T15:31:02.037718Z,device_217,image_detection,high,10240.0,0.75,500,0.75,43.0
2026-05-22T15:31:04.037718Z,device_218,image_detection,high,9216.0,0.75,500,0.57,8.0
2026-05-22T15:31:06.037718Z,device_219,image_detection,medium,4096.0,0.45,1500,0.73,20.0
2026-05-22T15:31:08.037718Z,device_220,image_detection,low,5120.0,0.15,5000,0.7,23.0
2026-05-22T15:31:10.037718Z,device_221,temperature_report,low,5120.0,0.15,5000,0.88,30.0
2026-05-22T15:31:12.037718Z,device_222,image_detection,high,5120.0,0.75,500,0.31,29.0
2026-05-22T15:31:14.037718Z,device_223,image_detection,medium,10240.0,0.45,1500,0.14,28.0
2026-05-22T15:31:16.037718Z,device_224,image_detection,high,4096.0,0.75,500,0.5,18.0
2026-05-22T15:31:18.037718Z,device_225,image_detection,high,1024.0,0.75,500,0.78,43.0
2026-05-22T15:31:20.037718Z,device_226,image_detection,medium,8192.0,0.45,1500,0.61,25.0
2026-05-22T15:31:22.037718Z,device_227,image_detection,low,4096.0,0.15,5000,0.46,31.0
2026-05-22T15:31:24.037718Z,device_228,temperature_report,medium,8192.0,0.45,1500,0.2,32.0
2026-05-22T15:31:26.037718Z,device_229,image_detection,low,5120.0,0.15,5000,0.32,22.0
2026-05-22T15:31:28.037718Z,device_230,temperature_report,high,2048.0,0.75,500,0.78,9.0
2026-05-22T15:31:30.037718Z,device_231,image_detection,high,6144.0,0.75,500,0.06,31.0
2026-05-22T15:31:32.037718Z,device_232,temperature_report,low,2048.0,0.15,5000,0.86,37.0
2026-05-22T15:31:34.037718Z,device_233,temperature_report,high,2048.0,0.75,500,0.31,27.0
2026-05-22T15:31:36.037718Z,device_234,temperature_report,medium,5120.0,0.45,1500,0.26,23.0
2026-05-22T15:31:38.037718Z,device_235,temperature_report,low,6144.0,0.15,5000,0.95,12.0
2026-05-22T15:31:40.037718Z,device_236,temperature_report,high,4096.0,0.75,500,0.61,15.0
2026-05-22T15:31:42.037718Z,device_237,image_detection,high,4096.0,0.75,500,0.55,7.0
2026-05-22T15:31:44.037718Z,device_238,image_detection,high,3072.0,0.75,500,0.14,36.0
2026-05-22T15:31:46.037718Z,device_239,image_detection,medium,9216.0,0.45,1500,0.59,19.0
2026-05-22T15:31:48.037718Z,device_240,image_detection,high,10240.0,0.75,500,0.73,15.0
2026-05-22T15:31:50.037718Z,device_241,temperature_report,medium,5120.0,0.45,1500,0.1,38.0
2026-05-22T15:31:52.037718Z,device_242,image_detection,low,4096.0,0.15,5000,0.59,23.0
2026-05-22T15:31:54.037718Z,device_243,temperature_report,medium,9216.0,0.45,1500,0.18,24.0
2026-05-22T15:31:56.037718Z,device_244,image_detection,high,6144.0,0.75,500,0.21,20.0
2026-05-22T15:31:58.037718Z,device_245,image_detection,low,10240.0,0.15,5000,0.35,30.0
2026-05-22T15:32:00.037718Z,device_246,image_detection,low,9216.0,0.15,5000,0.3,6.0
2026-05-22T15:32:02.037718Z,device_247,image_detection,medium,10240.0,0.45,1500,0.03,28.0
2026-05-22T15:32:04.037718Z,device_248,temperature_report,high,10240.0,0.75,500,0.27,32.0
2026-05-22T15:32:06.037718Z,device_249,temperature_report,low,2048.0,0.15,5000,0.93,48.0
2026-05-22T15:32:08.037718Z,device_250,image_detection,medium,2048.0,0.45,1500,0.99,39.0
2026-05-22T15:32:10.037718Z,device_251,image_detection,low,6144.0,0.15,5000,0.59,47.0
2026-05-22T15:32:12.037718Z,device_252,image_detection,high,6144.0,0.75,500,0.3,47.0
2026-05-22T15:32:14.037718Z,device_253,temperature_report,high,4096.0,0.75,500,0.15,11.0
2026-05-22T15:32:16.037718Z,device_254,image_detection,high,3072.0,0.75,500,0.65,21.0
2026-05-22T15:32:18.037718Z,device_255,temperature_report,low,3072.0,0.15,5000,0.48,24.0
2026-05-22T15:32:20.037718Z,device_256,temperature_report,high,10240.0,0.75,500,0.87,17.0
2026-05-22T15:32:22.037718Z,device_257,temperature_report,medium,1024.0,0.45,1500,0.84,13.0
2026-05-22T15:32:24.037718Z,device_258,temperature_report,medium,2048.0,0.45,1500,0.46,28.0
2026-05-22T15:32:26.037718Z,device_259,image_detection,medium,4096.0,0.45,1500,0.82,42.0
2026-05-22T15:32:28.037718Z,device_260,image_detection,medium,3072.0,0.45,1500,0.86,22.0
2026-05-22T15:32:30.037718Z,device_261,image_detection,high,8192.0,0.75,500,0.49,20.0
2026-05-22T15:32:32.037718Z,device_262,temperature_report,low,6144.0,0.15,5000,0.75,48.0
2026-05-22T15:32:34.037718Z,device_263,image_detection,medium,5120.0,0.45,1500,0.49,27.0
2026-05-22T15:32:36.037718Z,device_264,image_detection,high,9216.0,0.75,500,0.51,40.0
2026-05-22T15:32:38.037718Z,device_265,image_detection,low,5120.0,0.15,5000,0.33,29.0
2026-05-22T15:32:40.037718Z,device_266,image_detection,high,5120.0,0.75,500,0.15,42.0
2026-05-22T15:32:42.037718Z,device_267,image_detection,medium,9216.0,0.45,1500,0.07,39.0
2026-05-22T15:32:44.037718Z,device_268,image_detection,low,4096.0,0.15,5000,0.54,28.0
2026-05-22T15:32:46.037718Z,device_269,image_detection,medium,9216.0,0.45,1500,0.03,45.0
2026-05-22T15:32:48.037718Z,device_270,image_detection,low,8192.0,0.15,5000,0.41,15.0
2026-05-22T15:32:50.037718Z,device_271,temperature_report,medium,3072.0,0.45,1500,0.04,38.0
2026-05-22T15:32:52.037718Z,device_272,temperature_report,low,3072.0,0.15,5000,0.56,18.0
2026-05-22T15:32:54.037718Z,device_273,temperature_report,low,1024.0,0.15,5000,0.06,41.0
2026-05-22T15:32:56.037718Z,device_274,image_detection,high,8192.0,0.75,500,0.68,24.0
2026-05-22T15:32:58.037718Z,device_275,image_detection,low,5120.0,0.15,5000,0.48,33.0
2026-05-22T15:33:00.037718Z,device_276,temperature_report,high,2048.0,0.75,500,0.51,48.0
2026-05-22T15:33:02.037718Z,device_277,temperature_report,low,7168.0,0.15,5000,1.0,21.0
2026-05-22T15:33:04.037718Z,device_278,image_detection,medium,5120.0,0.45,1500,0.5,15.0
2026-05-22T15:33:06.037718Z,device_279,image_detection,low,1024.0,0.15,5000,0.92,31.0
2026-05-22T15:33:08.037718Z,device_280,image_detection,low,2048.0,0.15,5000,0.49,28.0
2026-05-22T15:33:10.037718Z,device_281,image_detection,low,10240.0,0.15,5000,0.43,13.0
